File Name: not saved,,,,,,,,,,,,,
"Channel 1: 'LGM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 2: 'LAM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 3: 'LVM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 4: 'LVL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 5: 'LBF', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 6: 'LMG', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 7: 'LPL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 1: 'RGM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 2: 'RAM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 3: 'RVM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 4: 'RVL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 5: 'RBF', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 6: 'RMG', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 7: 'RPL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
,,,,,,,,,,,,,
387,-407,1604,2231,-2852,3302,3415,4000,3886,1406,-3768,-215,4000,-4000
-4000,-3333,4000,3976,-4000,3591,3114,4000,4000,1581,-3521,-230,3918,-3563
-3090,-1804,2289,1305,-1185,-633,-760,3831,2863,868,-1779,-77,1196,-972
2101,1603,-2551,-3758,3631,-4000,-4000,478,-77,-204,2044,156,-3835,3565
4000,4000,-4000,-4000,4000,-4000,-4000,-3950,-4000,-1528,4000,312,-4000,4000
4000,3347,-4000,-3664,3679,-3826,-3663,-4000,-4000,-1375,3075,173,-3988,3002
4000,2387,-3804,-4000,3989,-4000,-3951,-3135,-3272,-808,2432,141,-4000,3302
3896,2676,-3633,-504,2662,-2478,-1950,-3589,-3760,-1190,2360,150,-3800,2186
2185,1367,-1694,3593,1619,-2044,-1748,-2060,-2285,-821,1142,92,-2768,1589
2899,1541,-1952,-702,1638,-967,-785,-1884,-2100,-1093,1421,130,-1916,1414
3552,735,-535,-4000,376,-171,-155,-1367,-1557,-945,465,75,-494,516
2733,606,-451,-2463,685,239,71,-667,-865,-930,619,102,-258,677
495,270,164,-1674,-291,1207,1030,-736,-899,-954,56,79,1021,-242
-2615,-553,1336,1909,-1653,2506,2577,268,285,-454,-677,2,2276,-1761
-4000,-2922,3676,4000,-4000,4000,4000,2070,2542,1167,-3465,-252,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2995,-4000,-434,4000,-4000
-4000,-3945,4000,4000,-4000,4000,4000,4000,4000,1906,-4000,-250,4000,-4000
-4000,-3337,4000,4000,-4000,4000,3973,4000,3923,1421,-3788,-231,4000,-4000
-4000,-3000,3982,3579,-3568,2808,2386,4000,3873,1416,-3028,-192,3476,-2881
-2886,-1168,1494,348,-417,-1691,-1665,3170,2218,558,-1211,-32,305,-298
3023,2342,-3211,-4000,4000,-4000,-4000,-333,-902,-401,2829,206,-4000,4000
4000,4000,-4000,-4000,4000,-4000,-4000,-4000,-4000,-1776,4000,332,-4000,4000
3796,2990,-3946,-3823,3540,-3918,-3738,-4000,-4000,-1170,2737,147,-4000,2890
4000,2708,-4000,-4000,4000,-4000,-3808,-3110,-3294,-988,2758,165,-4000,3443
3829,2497,-3269,-3419,2257,-2272,-1785,-3609,-3712,-1158,2084,134,-3578,1919
3461,1413,-1782,-2738,1874,-2125,-1838,-1856,-2088,-860,1297,102,-2882,1802
3333,1557,-1889,-2025,1407,-722,-551,-2077,-2231,-1144,1320,124,-1595,1192
1750,637,-439,-1513,502,-280,-290,-1147,-1327,-910,486,74,-571,678
518,689,-567,-464,672,421,245,-876,-1036,-1027,638,107,-99,573
-1681,93,413,1626,-556,1372,1286,-599,-703,-868,-82,58,1232,-479
-4000,-1070,1940,3975,-2660,3377,3510,560,770,-123,-1366,-64,3098,-2904
-4000,-3807,4000,4000,-4000,4000,4000,3258,3540,1987,-4000,-363,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2870,-4000,-388,4000,-4000
-4000,-3528,4000,4000,-4000,4000,4000,4000,3922,1494,-3796,-214,4000,-4000
-4000,-3432,4000,4000,-4000,4000,3622,4000,4000,1548,-3767,-244,4000,-3974
-4000,-2482,3381,2965,-2724,1662,1417,4000,3398,1138,-2490,-140,2789,-2279
-1167,-309,140,-1492,1247,-3168,-3126,2361,1567,342,-233,29,-1549,1299
4000,3505,-4000,-4000,4000,-4000,-4000,-2056,-2566,-909,3811,287,-4000,4000
4000,4000,-4000,-4000,4000,-4000,-4000,-4000,-4000,-1794,4000,277,-4000,3950
3647,2445,-3691,-3904,3586,-4000,-4000,-3849,-4000,-909,2342,129,-4000,2981
4000,2974,-4000,-4000,3902,-3607,-3126,-3377,-3552,-1141,2895,179,-4000,3177
3616,1957,-2437,-3241,1739,-2132,-1712,-3140,-3254,-999,1560,103,-3125,1628
3622,1514,-1992,-3269,2081,-1865,-1622,-1743,-1980,-938,1465,124,-2756,1868
2864,1280,-1422,-1700,897,-389,-259,-2036,-2160,-1094,964,105,-1037,828
1222,560,-394,-1156,701,-253,-334,-841,-1044,-887,543,86,-616,805
-167,619,-462,422,367,791,620,-1013,-1129,-1037,468,101,338,257
-2756,-224,864,2628,-1039,1756,1788,-239,-297,-692,-350,29,1643,-1009
-4000,-1913,2818,4000,-3583,4000,4000,1155,1595,468,-2466,-155,3823,-3864
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2680,-4000,-429,4000,-4000
-4000,-4000,4000,4000,-4000,4000,3989,4000,4000,2435,-4000,-316,4000,-4000
-4000,-3266,4000,4000,-4000,4000,4000,4000,3796,1350,-3715,-216,4000,-4000
-4000,-3364,4000,3988,-4000,3540,3058,4000,4000,1585,-3488,-233,3851,-3421
-3539,-1867,2521,2128,-1764,202,157,3768,2764,829,-1933,-91,1846,-1548
1082,815,-1554,-3191,2906,-4000,-4000,1310,642,74,1183,104,-3226,2949
4000,4000,-4000,-4000,4000,-4000,-4000,-3469,-3869,-1434,4000,338,-4000,4000
4000,3746,-4000,-3777,3869,-3867,-3804,-4000,-4000,-1546,3482,203,-4000,3394
3930,2411,-3721,-4000,3962,-4000,-4000,-3396,-3570,-849,2460,134,-4000,3330
4000,2918,-4000,-3832,3166,-2899,-2316,-3700,-3830,-1220,2642,162,-4000,2566
3523,1541,-1889,-3383,1685,-2194,-1847,-2427,-2594,-864,1291,89,-2978,1671
3659,1623,-2137,-2930,1932,-1330,-1120,-1934,-2132,-1063,1511,132,-2302,1637
2148,903,-847,-1271,566,-305,-242,-1667,-1801,-981,640,82,-714,670
704,620,-539,-660,827,-14,-146,-791,-982,-937,641,97,-497,790
-982,384,-93,1255,-85,1079,948,-930,-1027,-970,194,78,792,-97
-3576,-590,1345,3572,-1738,2518,2639,134,195,-444,-750,-9,2286,-1866
-4000,-3019,3722,4000,-4000,4000,4000,2167,2675,1245,-3544,-265,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2998,-4000,-434,4000,-4000
-4000,-3906,4000,4000,-4000,4000,4000,4000,4000,1887,-4000,-247,4000,-4000
-4000,-3339,4000,4000,-4000,4000,3968,4000,3909,1438,-3807,-235,4000,-4000
-4000,-3009,3951,3611,-3521,2738,2336,4000,3854,1423,-3015,-192,3429,-2831
-2606,-1184,1495,566,-500,-1593,-1516,3120,2187,576,-1264,-38,403,-410
3034,2234,-3112,-4000,4000,-4000,-4000,-185,-792,-353,2726,200,-4000,4000
4000,4000,-4000,-4000,4000,-4000,-4000,-4000,-4000,-1772,4000,336,-4000,4000
3925,3009,-3955,-3661,3545,-3911,-3752,-4000,-4000,-1176,2769,149,-4000,2932
4000,2711,-4000,-4000,4000,-4000,-3865,-3136,-3327,-972,2770,164,-4000,3470
3992,2515,-3332,-3537,2315,-2323,-1821,-3658,-3755,-1152,2100,133,-3626,1960
3614,1415,-1812,-3571,1926,-2185,-1895,-1895,-2128,-847,1311,102,-2957,1840
3424,1559,-1951,-2339,1468,-771,-602,-2119,-2265,-1127,1319,127,-1668,1222
1619,628,-479,-1035,555,-341,-341,-1187,-1371,-899,497,77,-662,712
370,681,-626,-117,730,378,206,-923,-1076,-1011,634,105,-192,594
-1800,73,381,2036,-540,1347,1289,-631,-735,-850,-87,54,1175,-481
-4000,-1136,1976,4000,-2729,3434,3577,561,799,-76,-1457,-70,3143,-2990
-4000,-3860,4000,4000,-4000,4000,4000,3326,3596,2055,-4000,-368,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2873,-4000,-385,4000,-4000
-4000,-3507,4000,4000,-4000,4000,4000,4000,3911,1492,-3790,-214,4000,-4000
-4000,-3451,4000,4000,-4000,4000,3602,4000,4000,1571,-3769,-245,4000,-3960
-3862,-2458,3338,3062,-2691,1641,1405,4000,3364,1133,-2471,-139,2778,-2267
-992,-309,131,-1488,1255,-3160,-3124,2345,1562,351,-230,29,-1560,1317
4000,3519,-4000,-4000,4000,-4000,-4000,-2069,-2573,-917,3821,293,-4000,4000
4000,4000,-4000,-4000,4000,-4000,-4000,-4000,-4000,-1794,4000,281,-4000,3942
3797,2435,-3685,-3878,3596,-4000,-4000,-3838,-4000,-906,2344,128,-4000,2991
4000,2975,-4000,-4000,3889,-3605,-3123,-3391,-3566,-1145,2892,180,-4000,3164
3742,1942,-2435,-3374,1754,-2155,-1728,-3127,-3248,-993,1553,104,-3138,1638
3725,1518,-2021,-3491,2102,-1885,-1629,-1759,-2002,-943,1466,124,-2778,1868
2876,1265,-1428,-1651,908,-421,-280,-2038,-2160,-1082,953,104,-1065,835
1089,559,-423,-804,730,-283,-351,-848,-1059,-883,541,86,-649,817
-252,609,-477,613,376,762,609,-1026,-1143,-1031,456,100,315,257
-2745,-247,865,2888,-1057,1770,1823,-240,-297,-677,-373,26,1645,-1048
-4000,-1992,2893,4000,-3631,4000,4000,1210,1650,527,-2537,-163,3851,-3908
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2723,-4000,-434,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2398,-4000,-312,4000,-4000
-4000,-3265,4000,4000,-4000,4000,4000,4000,3800,1353,-3725,-218,4000,-4000
-4000,-3352,4000,3915,-3982,3360,2892,4000,4000,1582,-3470,-230,3789,-3369
-3038,-1658,2126,1363,-1212,-610,-587,3653,2660,773,-1706,-68,1220,-1125
2077,1431,-2357,-3710,3460,-4000,-4000,675,127,-124,1848,148,-3756,3405
4000,4000,-4000,-4000,4000,-4000,-4000,-3849,-4000,-1604,4000,338,-4000,4000
4000,3387,-4000,-3603,3665,-3802,-3673,-4000,-4000,-1441,3145,179,-3981,3121
4000,2424,-3800,-4000,4000,-4000,-4000,-3194,-3366,-865,2530,152,-4000,3408
4000,2735,-3718,-3649,2781,-2531,-1995,-3727,-3851,-1229,2412,157,-3866,2272
3554,1382,-1721,-3510,1693,-2200,-1883,-2099,-2313,-800,1196,89,-2997,1688
3586,1602,-2076,-2750,1736,-1044,-853,-1965,-2136,-1059,1431,130,-2117,1453
1792,729,-579,-803,430,-323,-264,-1392,-1579,-897,486,72,-694,599
494,648,-548,-99,769,135,-4,-740,-916,-904,622,98,-389,703
-1379,264,122,1778,-274,1062,949,-751,-893,-885,41,66,973,-192
-3723,-533,1293,3778,-1634,2448,2566,247,286,-396,-697,-7,2235,-1790
-4000,-2949,3677,4000,-4000,4000,4000,2104,2615,1246,-3517,-267,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,3020,-4000,-443,4000,-4000
-4000,-3957,4000,4000,-4000,4000,4000,4000,4000,1923,-4000,-258,4000,-4000
-4000,-3365,4000,4000,-4000,4000,3984,4000,3944,1458,-3794,-240,4000,-4000
-3981,-2985,3900,3365,-3413,2485,2084,4000,3843,1428,-3017,-193,3308,-2772
-1877,-871,920,-494,292,-2439,-2395,2954,2027,505,-832,-11,-491,284
3704,2859,-3692,-4000,4000,-4000,-4000,-1115,-1526,-621,3275,234,-4000,4000
4000,4000,-4000,-4000,4000,-4000,-4000,-4000,-4000,-1842,4000,303,-4000,4000
3835,2618,-3784,-3716,3434,-3991,-3783,-4000,-4000,-1082,2436,137,-3944,2799
4000,2731,-4000,-4000,4000,-3867,-3510,-3117,-3298,-1018,2795,169,-4000,3389
3872,2221,-2858,-3453,1964,-2136,-1670,-3439,-3581,-1106,1805,117,-3322,1709
3688,1361,-1794,-3622,1931,-2036,-1772,-1683,-1932,-809,1286,103,-2873,1818
3206,1428,-1675,-1971,1149,-553,-386,-2025,-2195,-1087,1142,113,-1347,993
1337,536,-327,-629,495,-306,-329,-912,-1136,-810,408,73,-615,669
52,658,-516,440,513,533,381,-848,-1016,-956,544,101,27,427
-2082,-4,552,2329,-613,1249,1184,-389,-547,-758,-186,49,1186,-485
-4000,-948,1798,4000,-2555,3308,3469,544,736,-104,-1283,-54,3047,-2826
-4000,-3742,4000,4000,-4000,4000,4000,3183,3472,1969,-4000,-357,4000,-4000
